season,worldId,teamId,teamName,teamPower,matches,formationName,playerOverall,slotRank,slotFloor,slotTop,slotAvg,formationScore,coach
2622,13,3061403,松阪牛FC,73.02279806961225,7,バイエルン 2000-01,64.98051054547467,79.12457912457911,49.38271604938272,100.0,57.14941276165861,2.7165950746199,1.4692752180421653
2616,2,9592901,タツノオトシゴ,72.98374194395689,3,チェルシー 2004-05,64.42835795138029,86.82907506436919,68.99055918663761,100.0,62.86901588932855,1.5004761041166528,0.3642493954928668
2616,6,5714002,イワキリ,72.98374194395689,7,チェルシー 2004-05,64.42835795138029,86.8290750643692,68.99055918663761,100.0,62.869015889328566,1.5004761041166523,0.3642493954928669
2618,1,6579701,Rコンシェルジュ,72.93812594519241,6,バイエルン 2000-01,63.20360956646828,86.88656048770827,60.559363763572286,100.0,59.529662663563364,2.8932758943315324,1.636513430062933
2622,5,5451801,Mambo,72.89812978492142,7,ウルグアイ 2014,63.946901071533134,81.69934640522877,58.82352941176471,100.0,57.018503259457354,2.8031424203745536,2.3842233296492554
2620,9,5728002,ジデンFC,72.79423273613831,7,バイエルン 2000-01,64.29575118290113,80.84382804612359,52.12816834050693,100.0,59.02805603018545,2.8312940712652,1.3742042544821833
2621,2,9592901,タツノオトシゴ,72.78800979387813,5,バイエルン 2000-01,65.67306802130508,75.43874903989682,35.86800573888092,100.0,57.51430667626992,2.9464651472038064,1.509202254303597
2620,1,6579701,Rコンシェルジュ,72.65379619199484,6,バイエルン 2000-01,63.285633503432,84.5296581308059,60.559363763572286,100.0,59.260178820433566,2.8312940712651997,1.3742042544821833
2621,13,3061403,松阪牛FC,72.6453624719235,4,バイエルン 2000-01,64.90969646883497,78.59283895869262,40.951520626317375,100.0,57.69761428067056,2.9464651472038064,1.509202254303597
2623,5,5451801,Mambo,72.55134816350628,4,ウルグアイ 2014,64.52702816218715,76.39631610219845,53.10457516339869,94.81481481481481,55.46526067570726,2.822324881212044,2.072793582973407
2621,6,5728802,CFC,72.52405177230898,4,ビアンコネーロ 2002-03,64.83442718373288,76.5114778397511,49.96837444655282,100.0,58.02233122211087,2.6824384870336373,-0.7411861370486106
2616,3,8375901,ゆるりん,72.48917181793165,7,ビアンコネーロ 2002-03,63.87942355685772,84.11256101356534,55.54416888706702,100.0,60.871011828335405,2.487317687038138,-0.45350823197621254
2623,2,4481001,湘南マイティー,72.41530630002535,7,チェルシー 2004-05,64.69405515655812,83.08575955634781,63.90704429920117,100.0,61.69157549296777,1.4436091583683606,0.3390518598296381
2623,5,9694401,MARS,72.41530630002535,7,チェルシー 2004-05,64.69405515655812,83.08575955634781,63.90704429920117,100.0,61.69157549296777,1.4436091583683606,-0.3238626837425733
2623,6,5714002,イワキリ,72.41530630002535,4,チェルシー 2004-05,64.69405515655812,83.0857595563478,63.90704429920117,100.0,61.69157549296776,1.4436091583683606,0.33905185982963804
2623,13,3621303,FC  ぐでたま,72.41530630002535,7,チェルシー 2004-05,64.69405515655812,83.08575955634781,63.90704429920117,100.0,61.69157549296777,1.4436091583683606,0.3390518598296381
2618,2,9592901,タツノオトシゴ,72.3554183420099,6,チェルシー 2004-05,64.32955282758893,85.44266191325015,63.90704429920117,100.0,62.705105354925585,1.4865185931110718,0.3701998875649623
2618,2,4481001,湘南マイティー,72.3554183420099,7,チェルシー 2004-05,64.32955282758893,85.44266191325015,63.90704429920117,100.0,62.705105354925585,1.4865185931110718,0.3701998875649623
2618,6,5714002,イワキリ,72.3554183420099,6,チェルシー 2004-05,64.32955282758893,85.44266191325015,63.90704429920117,100.0,62.705105354925585,1.4865185931110718,0.3701998875649623
2618,14,5847603,FC目黒,72.3554183420099,7,チェルシー 2004-05,64.32955282758893,85.44266191325015,63.90704429920117,100.0,62.705105354925585,1.4865185931110718,0.3701998875649623
2619,6,5806702,Rユース,72.3373418096206,7,バイエルン 2000-01,62.63039351668748,85.44266191325015,63.90704429920117,100.0,58.808023464237166,2.901814970957431,0.7609832462213234
2619,2,9209701,休止中。,72.33734180962058,5,バイエルン 2000-01,62.63039351668747,85.44266191325015,63.90704429920116,100.0,58.80802346423716,2.9018149709574304,1.4559735252760748
2619,21,9147601,舞浜レンガパン,72.33734180962057,4,バイエルン 2000-01,62.63039351668746,85.44266191325015,63.90704429920117,100.0,58.80802346423715,2.9018149709574304,1.4559735252760748
2620,9,3192702,ノリアFC,72.33371426355666,6,ウルグアイ 2014,64.61300192269583,75.54098863396776,49.96837444655282,94.8148148148148,55.56300687824855,2.8168936924302344,1.3742042544821833
2616,14,3514903,FC PONTA,72.23719139968799,3,ビアンコネーロ 2002-03,62.883746848309706,85.91607128192497,65.64287865100873,100.0,60.30651196511397,2.487317687038138,-0.730696774136366
2623,1,10052201,はたのっちFC 99,72.19881953999332,6,ビアンコネーロ 2002-03,64.97306264615325,77.32224202812438,39.21568627450981,100.0,58.86555786335391,2.761160646513631,1.256686277995878
2623,2,9592901,ユーベニーズ,72.1558787054046,5,バイエルン 2000-01,62.95007467431308,82.17275577390355,60.559363763572286,100.0,57.65742785403411,2.9612242340245363,1.409570456178325
2623,21,9147601,舞浜レンガパン,72.1558787054046,7,バイエルン 2000-01,62.950074674313086,82.17275577390355,60.55936376357228,100.0,57.657427854034104,2.9612242340245367,1.591936004592309
2622,6,5806702,Rユース,72.12601634644966,7,バイエルン 2000-01,62.482073189073375,84.47217270746684,68.99055918663761,100.0,57.90271239088976,2.7165950746199,1.4692752180421653
2622,2,9592901,タツノオトシゴ,72.12601634644965,5,バイエルン 2000-01,62.48207318907337,84.47217270746684,68.99055918663761,100.0,57.90271239088977,2.7165950746199004,1.4692752180421653
2622,21,9147601,舞浜レンガパン,72.12601634644965,6,バイエルン 2000-01,62.48207318907337,84.47217270746684,68.99055918663761,100.0,57.90271239088977,2.7165950746199,1.4692752180421653
2623,11,7017401,バナナサブその２,72.10041876296728,4,バイエルン 2000-01,63.61148761125637,81.48148148148148,49.382716049382715,100.0,58.04016788347342,2.9612242340245363,1.5919360045923088
2620,2,9592901,タツノオトシゴ,72.09677320745996,4,バイエルン 2000-01,65.8167775648414,71.04872251931076,33.496732026143796,94.81481481481481,56.57385588988247,2.8312940712651997,1.3742042544821833
2618,8,3114102,爽やかナ・デ・シココ,72.02851831690323,5,チェルシー 2004-05,63.62856665253521,88.2729736388273,65.64287865100873,100.0,61.9067718447591,1.4865185931110718,0.5972900488313408
2619,17,4698104,東京C エスペリオン,71.9986363455661,6,リバプール 2004-05,67.64940920447275,74.33155080213903,19.607843137254903,100.0,56.8471872251443,1.5748750754828318,-0.5239189840360706
2618,8,8405701,ガンバル部,71.9816329831229,4,バイエルン 2000-01,63.73809208447099,81.64101560801704,46.40921409214093,100.0,59.26007241059015,2.8932758943315324,1.636513430062933
2621,8,655002,みゃおFC,71.97763975364914,7,ビアンコネーロ 2002-03,64.23112614000082,76.88471164406995,51.33689839572192,100.0,57.3182052216812,2.682438487033637,0.9501812680204277
2621,21,952905,ファンタジア,71.95589786797107,4,ヴァレンシア 2003-04,64.37897386412111,85.44266191325016,63.90704429920117,100.0,61.89150739045231,1.1471361131877906,1.1214548919070344
2622,6,5728802,CFC,71.94827745628966,6,ビアンコネーロ 2002-03,64.67439778392938,77.44671326689499,44.077793719113664,100.0,59.56112227894946,2.581974053511969,1.060388840442043
2616,21,556205,FC.URAWA,71.94748808404557,6,バルセロナ 1999-2000,61.03043784981717,100.0,100.0,100.0,53.94443256495422,0.8820788185147707,0.9341615724578611
2618,5,5451801,Mambo,71.93713159157807,7,ウルグアイ 2014,63.874150726336325,75.59912854030502,58.82352941176471,89.62962962962965,54.44604922101816,2.7146146498137074,2.019552020004333
2620,17,4698104,東京C エスペリオン,71.91983093813928,7,リバプール 2004-05,68.10390084122584,69.61774608833433,19.6078431372549,100.0,56.091422292076444,1.571851821899563,-0.5798871986135152
2619,8,3114102,爽やかナ・デ・シココ,71.90159071350406,5,チェルシー 2004-05,64.28431155586125,84.41403280112958,60.13540422142572,100.0,62.396693834731835,1.4617682541214205,0.4829871345994226
2620,6,5714002,イワキリ,71.86038705329473,5,チェルシー 2004-05,64.44931953050549,82.17275577390355,60.559363763572286,100.0,62.229750678666036,1.4802778918198833,0.3223517310089743
2620,14,5847603,FC目黒,71.86038705329473,3,チェルシー 2004-05,64.44931953050549,82.17275577390355,60.559363763572286,100.0,62.22975067866604,1.4802778918198836,0.3223517310089743
2622,6,5714002,イワキリ,71.80028647103727,5,チェルシー 2004-05,64.46933981415815,82.05713044422723,60.13540422142572,100.0,62.112102232971665,1.4496110853998996,0.3325849192880783
2621,6,5806702,Rユース,71.7753228256091,4,バイエルン 2000-01,62.369871854504034,84.52965813080591,60.559363763572286,100.0,58.59093534636302,2.9464651472038064,1.509202254303597
2621,5,9694401,MARS,71.72576864557492,5,チェルシー 2004-05,63.73787483975711,84.47217270746684,68.99055918663761,100.0,61.64413303454499,1.3622615030278196,0.1402560888938439
2616,19,7860701,Ēlysion,71.72563407092494,6,チェルシー 2004-05,65.89966634038181,78.70865517924342,39.21568627450981,100.0,60.983069131354675,1.5004761041166523,0.3642493954928669
2617,15,4341803,ForzaInter,71.65247403087602,5,オランダ 2014,67.90236018800613,68.05803129332541,13.888888888888891,100.0,57.242867471009504,1.95978575944632,-0.9433871577300466
2619,13,3621303,FC  ぐでたま,71.64902737255376,6,チェルシー 2004-05,63.29112343702963,86.82907506436919,68.99055918663761,100.0,63.2371135157394,1.4617682541214203,0.2977904230397011
2620,21,952905,ファンタジア,71.62168683915287,7,ヴァレンシア 2003-04,64.43838280905415,84.52965813080588,60.55936376357228,100.0,61.904184401503294,1.092587632190659,0.957318795346681
2617,2,9592901,タツノオトシゴ,71.62060334034047,4,チェルシー 2004-05,64.16339956926852,82.43036424854607,61.50392817059484,100.0,61.833857928918626,1.4729504498427555,0.3091982408120421
2617,2,4481001,湘南マイティー,71.62060334034047,6,チェルシー 2004-05,64.16339956926852,82.43036424854607,61.50392817059484,100.0,61.833857928918626,1.4729504498427557,0.3091982408120421
2617,6,5714002,イワキリ,71.62060334034047,7,チェルシー 2004-05,64.16339956926852,82.43036424854607,61.50392817059485,100.0,61.833857928918626,1.4729504498427557,0.3091982408120421
2617,14,5847603,FC目黒,71.62060334034047,5,チェルシー 2004-05,64.16339956926852,82.43036424854607,61.50392817059484,100.0,61.83385792891862,1.4729504498427555,0.3091982408120421
2621,17,6098104,04LS,71.5979859469401,4,バイエルン 2000-01,62.418658961387585,83.88294711824125,58.18809005083515,100.0,58.04509432973121,2.9464651472038064,1.509202254303597
2622,13,3621303,FC  ぐでたま,71.53981684242322,5,チェルシー 2004-05,63.44521103976619,87.62626262626263,63.271604938271615,100.0,64.21238113949894,1.4496110853998996,0.3325849192880783
2616,21,952905,ファンタジア,71.52037257727898,4,ヴァレンシア 2003-04,63.82225823195643,85.44266191325016,63.90704429920117,100.0,61.1695424476471,1.2905955400178766,1.0009328230314611
2618,17,6098104,04LS,71.51986245265488,7,バイエルン 2000-01,63.03789124815795,82.5540193904613,49.7568946277698,100.0,59.03987993992054,2.893275894331533,1.6365134300629331
2618,19,7860701,Ēlysion,71.5021417507252,4,チェルシー 2004-05,65.71813206971726,78.70865517924342,39.21568627450981,100.0,61.655188470736476,1.4865185931110718,0.3701998875649623
2617,6,5806702,Rユース,71.46251383823449,5,バイエルン 2000-01,62.523042896811624,80.78634262278453,55.47584887613582,100.0,57.60595809025519,3.1747770433518605,1.614430416046843
2617,21,9147601,舞浜レンガパン,71.46251383823449,3,バイエルン 2000-01,62.523042896811624,80.78634262278453,55.47584887613582,100.0,57.6059580902552,3.174777043351861,1.6144304160468428
2623,9,4469202,FC コレナンデ商会,71.40714081964673,7,バイエルン 2000-01,63.08748659590862,79.65753794630801,51.33689839572192,100.0,56.50513734988566,2.9612242340245367,1.591936004592309
