review_id,formation_id,formation_label,slot,rank,rohm_player_id,rohm_player_name,rohm_category,current_player_id,current_player_name,current_person_id,candidate_ids
r91,38,チェルシー 2004-05,8,15,1847,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r92,38,チェルシー 2004-05,8,16,1239,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r93,38,チェルシー 2004-05,8,4,1235,ランフォード,PS,1112,ランフォード,449,449 773 1112 2378 2600 2940 883 679
r94,38,チェルシー 2004-05,8,17,1850,ランフォード,PS,1112,ランフォード,449,449 773 1112 2378 2600 2940 883 679
r95,43,N-BOX,10,3,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r96,43,N-BOX,10,9,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r97,43,N-BOX,11,55,1587,G・フェラー,PS,2336,G・フェラー,1465,1465 2336
r98,43,N-BOX,11,69,2390,G・フェラー,PS,2336,G・フェラー,1465,1465 2336
r99,46,マンチェスターC 2011-12,6,17,1239,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r100,46,マンチェスターC 2011-12,6,27,1847,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r101,46,マンチェスターC 2011-12,9,7,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r102,46,マンチェスターC 2011-12,9,10,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r103,47,ネラッズーロ 2009-10,1,10,1361,アウアー,PS,1091,アウアー,513,513 835 1091 1649 1922 1997 2924 660
r104,47,ネラッズーロ 2009-10,1,45,2175,アウアー,PS,1091,アウアー,513,513 835 1091 1649 1922 1997 2924 660
r105,47,ネラッズーロ 2009-10,8,25,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r106,47,ネラッズーロ 2009-10,8,31,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r107,47,ネラッズーロ 2009-10,9,17,987,オーフェン,PS,1771,オーフェン,33,33 3172 1771 845
r108,47,ネラッズーロ 2009-10,9,38,2392,オーフェン,PS,1771,オーフェン,33,33 3172 1771 845
r109,47,ネラッズーロ 2009-10,10,21,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r110,47,ネラッズーロ 2009-10,10,26,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r111,47,ネラッズーロ 2009-10,11,51,2398,ボッシ,PS,1179,ボッシ,1179,1179
r112,47,ネラッズーロ 2009-10,11,67,1140,ボッシ,PS,1179,ボッシ,1179,1179
r113,48,ドルトムント 2011-12,9,26,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r114,48,ドルトムント 2011-12,9,38,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r115,50,スペイン 2012,3,10,2046,トレッリ,PS,1175,トレッリ,1175,1539 3113 1175 1958 2421
r116,50,スペイン 2012,3,79,2476,トレッリ,PS,1175,トレッリ,1175,1539 3113 1175 1958 2421
r117,50,スペイン 2012,10,16,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r118,50,スペイン 2012,10,56,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r119,50,スペイン 2012,11,40,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
